Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Prnp;[1.38506936e+00 1.63511630e+02 1.49627934e+03];[1.38506936        nan        nan];[ 9.15090467  7.78426243 10.74864004];12.57
Prnd;[8.67875458e-02 7.87585582e+01 1.68502436e+02];[0.08678755 0.0520209  0.13718805];[2.2036654  1.20887455 4.24442104];0.19
Slc23a2;[2.56833023e-01 2.42203405e+02 5.81104405e+02];[0.25683302 0.2115711  0.34735821];[2.25528679 1.57978558 3.30987962];0.62
Cds2;[  0.67509058  70.37653315 116.85080483];[0.67509058 0.51815661 0.90583204];[1.66036603 1.21801622 2.25909689];1.11
Gpcpd1;[ 0.31165011 52.8008686  88.00342602];[0.32723262 0.22452046 0.42494067];[1.66670414 1.12202203 2.49560501];0.52
Trmt6;[ 0.56646429 19.43958328 69.12533735];[0.56646429 0.43150551 0.7359293 ];[3.55590634 2.60815893 4.70160703];1.96
Mcm8;[  0.13631059  50.53264662 109.11443298];[0.13631059 0.09358372 0.20536154];[2.15928593 1.33306106 3.71016244];0.29
Mkks;[  0.36103467  96.89898827 302.56111053];[0.36103467 0.28391706 0.45860338];[3.12243828 2.3239832  4.24843836];1.12
Btbd3;[0.28296548 0.90291024 1.4578733 ];[1.11022302e-16            nan            nan];[1.61463813        nan        nan];0.35
Ism1;[0.00966296 0.87138593 5.13549141];[0.00048315        nan        nan];[5.89347522        nan        nan];0.06
Tasp1;[0.23942033 1.71855879 1.81315348];[0.01197102        nan        nan];[1.05504304        nan        nan];0.22
Esf1;[0.35861056 1.2138427  7.85444385];[0.35861056 0.25818468 0.49470875];[6.47072628 4.1823801  9.99391918];1.79
Flrt3;[ 0.12333609 31.86232662 93.32241109];[0.12333609 0.08564561 0.17733649];[2.92892645 1.86225431 4.89004367];0.36
Bfsp1;[4.27516608e-03 2.19713307e-01 6.67403563e+00];[0.00427517 0.00100074 0.01179987];[30.37611021         nan         nan];0.13
Dstn;[  1.308532     4.7495627  131.84576302];[1.308532   1.11697798 1.6081926 ];[26.92677164 19.39965241 34.92844081];28.48
Rrbp1;[  0.76345403   3.62048791 115.13326225];[0.76345403 0.65499963 0.89156685];[31.80048249 25.78490459 39.00159943];20.05
Csrp2bp;[0.37364205 1.71179086 3.45622374];[0.37364205 0.13077905 0.78629913];[2.01906893 0.77847013 7.42978748];0.62
Polr3f;[ 0.26410433 54.97669921 93.45684128];[0.27730954 0.1894339  0.39435773];[1.64893741 1.0716182  2.58367222];0.45
Rbbp9;[0.55060125 2.27304354 5.63955756];[0.55060125 0.33133043 0.93305708];[2.48106007 1.18516161 4.97526183];1.1
Sec23b;[ 0.95664715 15.17052328 51.50216575];[0.90881479 0.67899847 1.11249459];[3.80227001 2.56002854 5.72373453];3.06
Dtd1;[0.40785198 1.22836949 4.89593818];[0.40785198 0.25405392 0.63517053];[3.98572108 2.17472002 7.44003982];1.22
Rin2;[  0.32117657  62.3757127  120.31974501];[0.3372354  0.24340858 0.4606914 ];[1.81321472 1.26342574 2.69944276];0.62
Naa20;[ 1.31732074 12.13595588 53.56404955];[1.31732074 1.02859393 1.71438695];[4.41366548 3.02630349 6.37692474];5.24
Crnkl1;[  0.71261914 427.45461438 466.02867268];[0.71261914 0.52047394 1.02286639];[1.0902413  0.73860713 1.58446042];0.78
Xrn2;[ 1.42905552 13.16785199 23.41040884];[1.42905552 0.9356073  2.07550028];[1.77784569 1.10495577 3.46641387];2.29
Thbd;[2.99870520e-01 1.61882521e+02 8.80763447e+02];[0.32985757 0.27069942 0.39057702];[4.62464337 3.45320467 6.12932349];1.63
Nxt1;[  0.41110848  42.67001313 174.5606875 ];[0.41110848 0.33165344 0.50959109];[4.09094525 3.15093112 5.40112761];1.67
Napb;[0.04768969 1.03415616 2.07454025];[0.00238448        nan        nan];[2.00602224        nan        nan];0.09
Cst3;[   2.85256034   92.04131185 1049.58125007];[2.85256034        nan        nan];[11.40337126  9.83648256 13.29982695];31.55
Zfp120;[ 0.20216105 35.51304209 63.46789001];[0.20216105 0.13867909 0.30132903];[1.78717131 1.11936667 2.90757713];0.36
3300002I08Rik;[0.02407977 2.71738458 5.13765438];[6.9388939e-18           nan           nan];[1.89066149        nan        nan];0.05
Entpd6;[  0.78341499 162.33966426 215.14200969];[0.78341499 0.58746887 1.06339599];[1.32525844 0.95005518 1.8387173 ];1.03
Pygb;[ 0.63941922  8.31448705 16.66783676];[0.63941922 0.42532729 0.92664015];[1.16271097        nan        nan];1.19
Abhd12;[0.84302128 2.81359257 7.03430509];[0.84302128 0.54666298 1.40847001];[2.50011503 1.17970586 4.70294714];1.62
Gins1;[ 0.29552028 83.64170612 87.12924031];[0.29552028 0.19375234 0.46643387];[1.04169611 0.6245612  1.70902893];0.31
Ninl;[0.07367579 1.99762596 3.25739797];[0.00368379        nan        nan];[1.63063458        nan        nan];0.12
Nsfl1c;[  0.96286612  97.78356233 304.9888525 ];[0.96286612 0.79775988 1.18470537];[3.11901965 2.46915105 3.92042233];2.97
Fkbp1a;[  2.15024203  16.41786016 212.38210114];[1.93521783 1.61183045 2.38701756];[16.04069001 11.24449506 20.88312936];24.59
Snph;[0.05736922 1.45338646 5.70296654];[0.05736922 0.02462133 0.11108144];[3.9239161  1.77013399 9.85762598];0.22
Psmf1;[0.50537067 1.75104628 9.55200382];[0.50537067 0.35516113 0.71535943];[5.45502649 3.30054139 8.957811  ];2.14
Fam110a;[ 0.42655852 21.82211582 70.20613857];[0.42655852 0.3076555  0.55306519];[3.21720126 2.42254768 4.36952295];1.35
Tbc1d20;[  0.407447   317.25283018 349.96106682];[0.46856405 0.35182996 0.70344798];[0.93763358 0.59553183 1.44724117];0.45
Rbck1;[ 0.67921227  1.53250586 12.55734413];[0.67921227 0.51804298 0.91108912];[ 8.19399419  5.23081643 12.11449143];3.86
Trib3;[0.17575408 1.23019797 6.53071771];[0.17575408 0.11433492 0.26199102];[5.30867214 3.20892061 8.94375968];0.82
Sox12;[0.07152159 1.25890094 1.97676313];[0.00357608        nan        nan];[1.57022929        nan        nan];0.11
Zcchc3;[0.20678184 2.80570088 3.55235371];[0.01033909        nan        nan];[1.2661199       nan       nan];0.24
H13;[   1.80049236  127.7235332  1408.89638574];[1.80049236        nan        nan];[11.03082847  9.35859955 12.84223765];19.58
Id1;[  0.72754729  34.40603033 239.74228649];[0.72754729 0.62065514 0.86776236];[6.96803102 5.74773077 8.52647002];4.96
Tpx2;[ 0.19326879  1.23990699 12.6090158 ];[0.19326879 0.14793871 0.25168101];[10.16932389  7.14396363 14.43085736];1.7
Mylk2;[0.00788011 1.32680329 4.73028631];[0.00039401        nan        nan];[3.56517529        nan        nan];0.03
Foxs1;[ 0.04894043  0.30029265 13.94836803];[0.04894043 0.03291888 0.0698364 ];[46.44924862 30.01968466 74.0446204 ];1.95
Dusp15;[0.05947828 2.0207294  2.92847524];[0.00297391        nan        nan];[1.44921692        nan        nan];0.08
Pdrg1;[ 0.82403639  3.9243027  68.18742087];[0.82403639 0.69632469 0.98308123];[17.37567821 13.33843885 22.13549956];11.83
Hck;[0.14795429 2.01867146 8.06803019];[0.14795429 0.09348981 0.23323289];[3.99670295 2.30864677 6.95773253];0.55
Tm9sf4;[ 1.61132533 10.85620475 28.45162644];[1.53075906 1.10365905 2.29631391];[2.77801725 1.61815636 4.80041313];3.68
Pofut1;[  0.6453859  165.35417385 321.44227826];[0.6453859  0.49608456 0.83606005];[1.94396229 1.42980443 2.60750363];1.25
Kif3b;[0.23101721 1.26292704 5.30392811];[0.23101721 0.14277389 0.36268606];[4.19971063 2.35554033 7.56458094];0.82
Asxl1;[ 0.48640528 29.87583761 30.91822495];[0.48640528 0.24964325 0.75024753];[1.03489065 0.63241347 2.47205034];0.5
Commd7;[  1.06776074 337.14368405 700.32484763];[1.0143727  0.8216745  1.26234382];[2.2018634  1.73915545 2.82503875];2.21
Mapre1;[  1.451002    20.31109624 144.59642862];[1.3059018  1.06496264 1.59285489];[ 8.82766589  6.42528111 11.98132164];9.64
Cdk5rap1;[0.17311456 1.53710952 2.75671591];[0.00865573        nan        nan];[1.79344144        nan        nan];0.28
Snta1;[  1.0449814  135.0741701  168.99258403];[1.0449814  0.78782162 1.39381436];[1.25110955 0.93044718 1.7086798 ];1.3
E2f1;[ 0.41745022  4.80821103 17.47907435];[0.41745022 0.30042682 0.59147493];[3.63525524 2.30258293 5.67396961];1.4
Pxmp4;[  0.40321441  87.27099599 194.33984283];[0.40321441 0.30745963 0.53309046];[2.22685487 1.6124138  3.11162684];0.89
Zfp341;[ 0.10072904 56.86254828 70.09823935];[0.10072904 0.05342695 0.19098408];[1.23276641 0.59626913 2.69201616];0.12
Chmp4b;[ 0.8363605   3.52512124 25.55550033];[0.8363605  0.66323716 1.06246626];[ 7.24953799  5.03476871 10.13178047];4.9
Eif2s2;[ 0.65013838  3.36343616 48.78736304];[0.65013838 0.52847324 0.80124874];[14.50521451 10.81931417 19.31326715];7.9
Itch;[0.18312143 0.89772933 4.51790533];[0.18312143 0.10151291 0.30701553];[ 5.03259185  2.63796919 10.10695056];0.77
Dynlrb1;[   2.79481464  305.28803811 2131.59609424];[3.0742961  2.63715631 3.58484605];[6.3538436  5.42611643 7.45550142];19.34
Pigu;[  0.29643095  63.00811994 119.71714463];[0.29643095 0.21579327 0.41348748];[1.90002725 1.2902106  2.8614386 ];0.56
Map1lc3a;[  1.404334   207.28487895 476.13652749];[1.404334   1.17370066 1.77939224];[2.22810479 1.78636113 2.80555636];3.2
Trp53inp2;[ 0.62784976 43.49083721 48.28688225];[0.62784976 0.34190918 0.9514859 ];[1.11027714 0.69839075 1.64808041];0.69
Ncoa6;[0.04699991 0.22927835 6.79440502];[0.04699991 0.01995379 0.08646588];[29.63387143 14.59788339 74.78583602];1.16
Ggt7;[ 0.32368084 15.04713628 53.38512358];[0.32368084 0.23300075 0.42155255];[3.54785938 2.63721641 4.84682883];1.12
Acss2;[0.01167283 0.82238287 2.31170595];[5.20417043e-18            nan            nan];[2.81098506        nan        nan];0.03
Gss;[  0.78663144 123.25359362 547.40657201];[0.78663144 0.65340899 0.95334532];[4.44130314 3.54889844 5.59607329];3.47
Trpc4ap;[  1.1785441  334.89837928 784.91001005];[1.1785441  0.96279609 1.45257685];[2.34372591 1.86232738 2.95156153];2.75
Edem2;[ 0.36827936  1.68476772 10.21002174];[0.36827936 0.27242491 0.50021802];[6.06019547 3.98551013 9.05168052];1.83
Procr;[ 0.18914269 19.56742022 82.47732769];[0.18914269 0.14033232 0.256624  ];[4.21503329 2.86533912 6.34805965];0.79
BC029722;[0.23360431 1.48883711 9.49971218];[0.23360431 0.15491124 0.33701062];[ 6.3806256   3.94974398 10.7692187 ];1.29
Eif6;[ 0.77384196  2.47654692 34.25601109];[0.77384196 0.64263733 0.93991961];[13.83216723 10.32686885 18.23097936];8.16
Cep250;[  0.34643319  99.02333446 303.29017642];[0.34643319 0.27576596 0.44768658];[3.06281522 2.23534365 4.18473645];1.06
6430550D23Rik;[ 0.0250281  16.25827233 23.78152314];[0.0250281  0.00973348 0.08077447];[1.41885171        nan        nan];0.04
Ergic3;[   2.76827099  541.727605   1206.2124573 ];[2.76827099 2.3025898  3.36231627];[2.22660327 1.81171059 2.72389261];6.13
Cpne1;[6.64764087e-01 3.58995569e+02 7.64957947e+02];[0.66476409        nan        nan];[2.25867809 1.73795442 2.96984993];1.41
Nfs1;[ 0.67419853  2.76990721 11.82384821];[0.67419853 0.49364921 0.95209984];[4.26868026 2.55147609 6.6658846 ];2.31
Rbm39;[ 0.85630654  2.82084654 28.52946702];[0.85630654 0.7014457  1.05717526];[10.11379619  7.36314442 13.46063698];6.64
Phf20;[0.37419495 1.46867947 8.90256786];[0.37419495 0.269899   0.51856389];[6.06161388 3.89102941 9.33875657];1.81
Epb4.1l1;[ 0.2919167   8.83573685 28.17914304];[0.2919167  0.19367386 0.42053388];[3.18922389 2.03304275 5.46661339];0.9
Dlgap4;[ 0.31864981  3.10505952 23.09556098];[0.31864981 0.23261717 0.4499043 ];[ 7.4380413   4.79168637 11.35599345];2.15
Myl9;[  0.96737897  17.83290344 175.75856412];[0.91901002 0.75662746 1.09820748];[ 9.855858    8.29108432 11.81056596];9.04
5430405H02Rik;[  0.26600838 103.37662552 217.74918427];[0.2793088  0.18866174 0.32377793];[2.54870491 1.81643831 3.71296082];0.56
Ndrg3;[  0.6292396  158.77505025 299.34092124];[0.6292396  0.49456292 0.8358588 ];[1.82875517 1.36679174 2.50425222];1.18
Dsn1;[1.58513873e-01 8.92194314e+01 2.45157060e+02];[0.15851387 0.12009279 0.2140829 ];[2.83023292 1.8587398  4.55210011];0.43
Samhd1;[ 0.44976247  2.08031254 12.08371544];[0.44976247 0.33590698 0.60559381];[5.80860578 3.7973883  8.71260036];2.15
Rbl1;[0.12763401 1.80734294 4.06145713];[0.12763401 0.03705885 0.26026274];[2.24719783 1.00310823 8.70510732];0.27
Rpn2;[ 1.58842919  5.54444212 58.26327276];[1.58842919 1.29524849 1.96541567];[10.50841032  7.44144494 14.42630249];12.97
Manbal;[ 0.51404084  2.02967907 13.7305439 ];[0.51404084 0.39790114 0.66749249];[6.7648842  4.67851525 9.6248858 ];2.77
Src;[0.22750189 0.66427866 7.51177149];[0.22750189 0.15387441 0.32283076];[11.30816315  7.20263998 18.48065078];1.92
Blcap;[ 0.55560718  1.63282899 10.43950675];[0.55560718 0.4163162  0.7493631 ];[6.39350894 4.16037753 9.55946558];2.65
Ctnnbl1;[0.23038871 0.80530711 5.6817088 ];[0.23038871 0.14509758 0.34727949];[ 7.05533168  4.15626243 12.50884037];1.26
Tgm2;[ 0.25191796  7.22898141 24.45618965];[0.25191796 0.17525861 0.33795119];[3.38307547 2.22636505 5.44387931];0.82
Lbp;[0.02925177 2.73384188 3.81450818];[ 0.03510213 -0.00164284  0.10959912];[1.14413958 0.31967196 4.36599112];0.04
9430008C03Rik;[ 0.29089155  4.27627442 11.08147998];[0.29089155 0.19009575 0.44186632];[2.59138654 1.56852022 4.44881647];0.71
Ralgapb;[  0.54620858 124.43484058 199.80788411];[0.57351901 0.41249427 0.75336362];[1.60572299 1.13947908 2.26109879];0.87
Actr5;[0.13087271 2.00971614 4.58971236];[0.13087271 0.03917784 0.25171574];[2.28376151 1.04732726 8.60987113];0.28
Top1;[ 0.50329368  1.48473863 12.78952917];[0.50329368 0.38322662 0.66176006];[ 8.61399369  5.81745967 12.61500825];3.24
Zhx3;[0.1504127  1.52810788 2.20207663];[2.77555756e-17            nan            nan];[1.44104788        nan        nan];0.2
Srsf6;[  1.1868416  260.55024535 751.50017775];[1.1868416  1.0002308  1.45904396];[2.88428121 2.30166183 3.53487861];3.41
Jph2;[ 0.15941046  0.88526717 12.29836651];[0.15941046 0.1193395  0.21071822];[13.89226548  9.66170826 20.03954075];1.88
Fitm2;[0.13582894 0.13826585 1.06087671];[0.00679145        nan        nan];[15.26873526         nan         nan];0.53
Ttpal;[ 0.68181617  5.19563596 10.54713244];[0.64772536 0.40655264 1.05487029];[2.15179826 1.15013318 4.24852536];1.22
Serinc3;[   2.18446155  335.57033409 2105.66470665];[2.18446155 1.87394346 2.55150717];[6.27488336 5.32229746 7.42106169];13.62
Pkig;[  0.89499081 142.05653454 215.9062476 ];[0.93974035 0.709377   1.20560713];[1.47426559 1.09360135 1.96806901];1.35
Ada;[3.19712183e-01 2.97855713e+02 7.68414542e+02];[0.31971218 0.27374421 0.3953736 ];[2.5798214  1.86523708 3.6039442 ];0.82
Wisp2;[  0.77373357  16.52276669 387.55999717];[0.73504689 0.62520295 0.83341937];[23.45611994 19.89035771 27.90025182];17.34
Ywhab;[  2.20345035 126.40775397 668.92347902];[2.20345035 1.87726474 2.59668489];[5.29179151 4.4428956  6.30131272];11.46
Tomm34;[0.31480371 6.18175345 9.86184999];[0.31480371 0.16871424 0.52630681];[1.59531597 0.8569614  3.46173748];0.48
Slpi;[2.60449423e-02 1.89061737e+00 3.55082119e+01];[0.02604494 0.01672415 0.04112068];[18.7812788   9.55182806 36.14098463];0.48
Dbndd2;[  0.90586806 122.55372449 184.27604611];[0.90586806 0.70609084 1.18981957];[1.50363481 1.12643783 1.99686612];1.35
Pigt;[ 0.84957938  3.74467461 11.63784325];[0.84957938 0.60515175 1.26882371];[3.10783832 1.69018031 5.10024801];2.15
Ube2c;[ 0.14594895  5.14764745 66.38208813];[0.14594895 0.11444125 0.18213539];[12.89561664  9.59632252 17.79686372];1.83
Snx21;[  0.47102539 101.48348605 155.00754839];[0.47102539 0.35113516 0.64508518];[1.52741647 1.07114002 2.16874341];0.72
Acot8;[0.44907522 2.48956426 5.33597695];[0.44907522 0.23912831 0.79813291];[2.14333771 1.02022695 4.9189634 ];0.82
Zswim3;[0.04000285 1.0422394  1.94362355];[1.38777878e-17            nan            nan];[1.86485327        nan        nan];0.07
Zswim1;[0.30489314 2.06614083 3.75074464];[0.30489314 0.13065384 0.59560613];[1.81533833 0.79176903 5.08710528];0.48
Neurl2;[ 0.37726193 13.03055025 13.15282776];[0.39612503 0.26690468 0.63890613];[0.91853936 0.56246831 2.07411838];0.37
Ctsa;[  1.70116447  57.4208272  520.68474689];[1.70116447 1.40950856 2.02101679];[ 9.06787262  7.69740208 10.74211458];14.98
Pltp;[  0.28132562  28.98331084 113.00485154];[0.2953919  0.22208528 0.35134248];[3.89896283 2.82980216 5.49014579];1.09
Pcif1;[0.06400383 0.67523691 8.84199488];[0.06400383 0.03595511 0.10694522];[13.09465578  6.87504293 25.72784598];0.77
Zfp335;[  0.26966781 195.32260518 247.32617758];[0.26966781 0.20188388 0.42005948];[1.22825718 0.76455684 2.01849283];0.34
Mmp9;[2.29288049e-02 1.97591070e+00 2.97814909e+01];[0.0229288  0.01382413 0.03807185];[15.07228585  7.52498334 31.45480396];0.34
Ncoa5;[ 0.35007682  9.74792269 34.58362752];[0.33257298 0.23142029 0.45169545];[4.0799638  2.66358439 6.22347532];1.2
Cdh22;[3.59684987e-03 9.49316791e-02 3.86769031e+00];[4.33680869e-19            nan            nan];[40.74182978         nan         nan];0.14
Slc35c2;[ 0.64099481  4.27428958 13.16062302];[0.64099481 0.44436055 0.93918414];[3.07901998 1.86027246 5.18305919];1.72
Elmo2;[  1.02872416 222.6984146  432.94859836];[1.02872416 0.8197697  1.30505564];[1.94410274 1.49958797 2.51722117];1.99
Zfp334;[ 0.29563005 15.9407948  37.70634181];[0.29563005 0.19507654 0.40815694];[2.36539911 1.662252   4.04680468];0.69
2810408M09Rik;[  0.56127517 132.62818389 176.60037288];[0.56127517 0.40982195 0.7897092 ];[1.33154483 0.91526488 1.92271922];0.74
Slc2a10;[ 0.22382986  6.10307763 22.20007396];[0.22382986 0.15625243 0.3143823 ];[3.63752115 2.35679129 5.80464342];0.79
Zmynd8;[ 0.45297155  2.4176151  11.39719331];[0.45297155 0.32505502 0.64070559];[4.71422987 2.88779068 7.42859928];1.8
Sulf2;[ 0.4896173   2.90612293 20.04701241];[0.4896173  0.38411047 0.63336759];[6.89819835 4.77813799 9.61141211];2.89
Prex1;[1.17305469e-02 7.31217885e+00 4.37560917e+01];[0.01114402 0.00470741 0.02537471];[5.98400184        nan        nan];0.07
Arfgef2;[  0.44551218 116.39939795 403.67036998];[0.44551218 0.35436829 0.56093671];[3.46797644 2.63279911 4.63410906];1.54
Stau1;[0.43924404 1.25060585 5.31665355];[0.43924404 0.27014493 0.68373503];[4.25126234 2.29616237 8.17326262];1.38
Ddx27;[0.6174202  1.85879601 6.19810438];[0.6174202  0.40349985 0.96830401];[3.33447261 1.72099846 6.05921411];1.55
Znfx1;[ 0.26584816  6.85800681 45.99379823];[0.26584816 0.20686274 0.34382399];[6.70658392 4.90584643 9.40792561];1.72
1500012F01Rik;[0.28012336 0.37438353 5.27923875];[0.28012336 0.1801587  0.41020224];[14.10115125  8.55343994 24.75063258];2.26
B4galt5;[  0.96710244 287.1955347  529.21669366];[1.01545756 0.81273618 1.30690985];[1.73214285 1.3132703  2.22889948];1.78
Rnf114;[  0.39953794  30.56680784 129.42888553];[0.39953794 0.31078233 0.51556281];[4.23429513 3.11179435 5.85803421];1.67
Ptpn1;[0.07715227 1.0793358  3.86625103];[0.00385761        nan        nan];[3.58206503        nan        nan];0.26
Adnp;[ 0.09668822  0.34434419 10.70681585];[0.09668822 0.05309831 0.15889954];[31.09335412 16.82434142 62.77475485];2.35
Atp9a;[0.17045429 3.29677786 8.69764552];[0.17045429 0.10299536 0.28060539];[2.63822614 1.50025571 4.8419138 ];0.43
Zfp64;[0.45727157 3.80018026 8.50188261];[0.45727157 0.26676353 0.72529733];[2.2372314  1.24858557 4.61595488];0.91
Tshz2;[ 0.24593319  4.43295139 11.48219328];[0.24593319 0.15487731 0.38088692];[2.59019156 1.54259839 4.61053852];0.6
Pfdn4;[ 1.51071048 24.43908734 69.69544226];[1.35963943 1.02057447 1.89580221];[3.45068062 2.20453273 5.35309406];4.06
Aurka;[ 0.07427801  1.22242233 15.54939791];[0.07427801 0.0527599  0.10306946];[12.72015207  8.30512891 19.6734616 ];0.89
Rae1;[ 0.78517165  7.82857766 18.49408134];[0.78517165 0.52700327 1.11955205];[2.36238077 1.48158498 4.2605887 ];1.69
Rbm38;[0.08461478 0.55924024 2.55817419];[5.55111512e-17            nan            nan];[4.57437435        nan        nan];0.34
Zbp1;[0.01889266 0.36675171 2.38852991];[0.00094463        nan        nan];[6.51266195        nan        nan];0.12
Pmepa1;[1.24939743e+00 3.91586718e+02 2.74192356e+03];[1.24939743 1.07348878 1.45739184];[7.00208518 5.89737342 8.35964342];8.72
Ppp4r1l-ps;[1.21700004e-01 1.22151092e+02 3.27796501e+02];[0.13387    0.10082653 0.17643689];[2.28100315 1.39326165 3.90872891];0.33
Rab22a;[  1.08067089 190.25823973 307.33750003];[1.08067089 0.84851145 1.39498762];[1.61537025 1.22359107 2.11948822];1.74
Vapb;[  1.334343    99.12999964 136.23293605];[1.334343   1.03750802 1.80543934];[1.37428565 1.00482619 1.80729168];1.81
Npepl1;[  0.83935404 105.99098664 140.75975069];[0.83935404 0.63760702 1.1412266 ];[1.3280351  0.96273008 1.81606182];1.11
Gnas;[2.82100952e+00 3.31832179e+02 2.97500957e+03];[2.82100952        nan        nan];[ 8.96540406  7.67370927 10.47501308];25.08
Ctsz;[8.18282546e-01 5.68375014e+01 1.02315361e+03];[0.81828255        nan        nan];[18.00138268 15.12334497 21.48943117];14.52
Atp5e;[ 1.73230268  2.97666865 35.58831399];[1.73230268 1.3853287  2.19234034];[11.95575262  8.20096044 16.82778148];13.09
Slmo2;[  1.30624293 117.65819012 310.44736604];[1.30624293 1.07840609 1.59814111];[2.63855296 2.10311109 3.28182854];3.41
Taf4a;[ 0.10293716  4.7781356  13.69399402];[0.10808402 0.05828951 0.16940438];[2.86597016 1.57171351 5.61282604];0.29
Psma7;[  1.60466689  10.53908442 142.15108285];[1.60466689 1.33898814 1.96413946];[13.48799167  9.96587803 17.81586113];18.78
Lama5;[ 0.21961777  1.81259665 22.85244888];[0.21961777 0.17546324 0.27418743];[12.60757535  9.34487873 16.99785578];2.47
Rps21;[   3.28337657  721.86931485 2435.04563422];[3.4475454  2.8875781  4.02904292];[3.27205246 2.720844   3.89310031];11.03
Ogfr;[ 0.60073518  4.89488872 30.53046276];[0.60073518 0.48040407 0.76289662];[6.23721284 4.5214764  8.49601797];3.34
Tcfl5;[0.0397821  2.1560981  3.14399628];[0.00198911        nan        nan];[1.45818795        nan        nan];0.06
Dido1;[ 0.87245302 13.59973541 16.74180665];[0.82883037 0.42295446 1.33611549];[1.37876384 0.74547073 3.56276917];1.01
Ythdf1;[  0.26382164  39.3233914  181.89345843];[0.26382164 0.20141003 0.34629258];[4.62557913 3.27801147 6.70512912];1.21
Arfgap1;[ 0.4371963   2.14367389 11.04219757];[0.4371963  0.32247532 0.59827633];[5.15106221 3.31860256 7.79071789];1.87
Gmeb2;[  0.30375543 106.27833081 115.40719987];[0.3189432  0.20344555 0.51341179];[1.02074211 0.60349444 1.73376297];0.33
Rtel1;[ 0.23484932  9.21339325 23.02659937];[0.23484932 0.14928335 0.34612043];[2.49925285 1.57214906 4.43029398];0.57
