Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Edc4;[0.04076663 1.10172081 6.37242888];[0.04076663 0.01238072 0.0998574 ];[ 5.78406872  1.94526314 20.52807604];0.23
Psmb10;[ 0.29253083  1.47226216 10.54104329];[0.29253083 0.21239623 0.40476362];[ 7.15975972  4.59876093 10.90521136];1.75
Slc12a4;[ 0.55955464  3.70429137 33.43312303];[0.55955464 0.45166539 0.69328401];[ 9.02551113  6.67744727 12.20757999];4.39
Ddx28;[0.07935271 0.97818374 5.01282073];[0.07935271 0.03666742 0.14056827];[ 5.12462079  2.58773158 11.98416691];0.38
Slc7a6;[ 0.63547872 28.99563404 62.31076185];[0.63547872 0.43051209 0.84455999];[2.14897049 1.52920427 2.91272916];1.34
Slc7a6os;[0.09617058 0.54688596 4.89924975];[0.09617058 0.01954949 0.19866063];[8.95844851        nan        nan];0.73
Prmt7;[  0.49042791 299.80722988 442.79524338];[0.5394707  0.35613069 0.77797691];[1.29970119 0.86581239 1.96108838];0.72
Smpd3;[ 0.13829834 38.78021975 61.35825594];[0.14521326 0.08728455 0.23857828];[1.53473881 0.85960147 2.80958011];0.22
Zfp90;[0.03080973 0.3818432  2.11507539];[3.46944695e-18            nan            nan];[5.53912016        nan        nan];0.16
Cdh3;[ 0.18643301  4.51722899 13.50441582];[0.18643301 0.120279   0.28352827];[2.98953537 1.7895881  5.15645101];0.54
Chtf8;[ 0.6117831   2.15445052 13.75859778];[0.6117831  0.4660443  0.81110122];[6.38612845 4.23314473 9.38237119];3.04
Cirh1a;[  1.06954309 128.84945167 226.90941828];[1.12302025 0.87530688 1.42498374];[1.70821166 1.3092353  2.20394283];1.87
Vps4a;[  1.01748988 102.60014426 142.44976087];[1.11923887 0.84112384 1.48945939];[1.26344152 0.92457723 1.70351076];1.4
Pdf;[ 0.44653164  8.03662992 13.14830437];[0.44653164 0.26366841 0.69009445];[1.63604701 0.96457505 3.26340434];0.69
Cog8;[0.37977959 1.13637373 5.27886347];[0.37977959 0.24609317 0.57280092];[4.6453586  2.66383774 8.20007493];1.32
Nip7;[ 0.65786676  2.09273665 12.11504947];[0.65786676 0.48497219 0.88805736];[5.78909415 3.7248726  9.0405715 ];2.9
Cyb5b;[  1.85323925 370.86856932 728.74305784];[1.85323925 1.5425051  2.3297534 ];[1.90601422 1.53479414 2.39742181];3.62
Nfat5;[ 0.51103707  3.9188502  21.61835862];[0.51103707 0.38619839 0.69223869];[5.51650549 3.66543506 8.11579801];2.49
Nqo1;[  0.71166946  80.26931135 671.69924468];[0.71166946        nan        nan];[ 8.36807035  6.91253923 10.03859922];5.9
Nob1;[ 0.8815087  25.78552015 55.89503213];[0.8815087  0.62352174 1.15634415];[2.1676907  1.5651779  3.60184483];1.85
Wwp2;[6.29157342e-01 2.12407898e+02 6.88688717e+02];[0.66061521 0.54232955 0.82103961];[2.95048696 2.34615724 3.85774425];2.03
Psmd7;[  1.16991645  13.31377675 139.15382479];[1.16991645 0.98279873 1.41111287];[10.45186707  8.38078321 13.42038895];11.24
Zfhx3;[  0.70685873 178.67999398 352.06153033];[0.74220166 0.56764987 0.96387982];[1.85212587 1.38468872 2.53898483];1.39
Dhx38;[ 0.36694653 10.72919103 27.78596086];[0.36694653 0.25214942 0.50753161];[2.58975358 1.7431839  4.26748312];0.92
Dhodh;[  0.49080136  48.18203173 108.02066306];[0.49080136 0.3811862  0.71277908];[2.24192835 1.67650083 3.04951216];1.09
Zfp821;[6.02303636e-02 1.26092326e+02 1.22693368e+03];[0.06023036 0.04404518 0.08098434];[ 6.51939412  3.72136337 12.69020317];0.59
Atxn1l;[0.13982913 1.02501261 3.26481155];[0.13982913 0.02932102 0.30332574];[3.18514282        nan        nan];0.39
Ap1g1;[  1.44026459 128.99641797 131.46479351];[1.51227782 1.11111614 2.07025067];[0.98856117 0.70540652 1.35068251];1.45
Zfp612;[ 0.01513423  3.95462349 13.60630216];[ 1.51342305e-02 -4.67053761e-05  3.98313131e-02];[3.44060622        nan        nan];0.05
Cog4;[ 0.75357027  6.4431496  29.75651163];[0.75357027 0.57677421 1.0085162 ];[4.61831767 3.01085589 6.78472101];3.12
Fuk;[1.28203916e-01 1.07054182e+02 2.83086115e+02];[0.12820392 0.09886602 0.17896279];[2.6443256  1.63493911 4.33823334];0.34
St3gal2;[ 0.51018499  2.14206854 25.48105378];[0.51018499 0.41477357 0.62988596];[11.89553618  8.83550936 15.82220362];4.9
Ddx19a;[ 0.23332959  5.12924595 13.56096811];[0.23332959 0.14274834 0.37084114];[2.64385218 1.50376216 4.89339041];0.59
Aars;[ 0.94388205  4.36984326 37.64086158];[0.94388205 0.76393751 1.17405596];[ 8.61377842  6.20458464 11.7606554 ];6.69
Znrf1;[  0.58567551  65.2418337  141.32393758];[0.58567551 0.45018116 0.77996528];[2.1661552  1.58205433 2.97476763];1.26
Cfdp1;[ 0.65971784  3.1987986  25.62936943];[0.65971784 0.53114305 0.83318662];[ 8.01218602  5.68276937 10.84948483];4.38
Kars;[ 1.21060303 12.45122579 43.0802011 ];[1.27113319 0.92804101 1.62235239];[3.35611897 2.33920918 5.16940915];3.82
Terf2ip;[0.56726269 4.09401507 4.56236115];[0.56726269 0.22282044 1.11091724];[1.11439774 0.49059812 3.83816991];0.56
Nudt7;[0.242084   3.71749157 8.18491427];[0.242084   0.14227433 0.39205892];[2.20173042 1.2118448  4.21775576];0.5
Vat1l;[2.18548702e-03 4.28960251e-01 6.47791882e+00];[4.33680869e-19            nan            nan];[15.10144309         nan         nan];0.03
Wwox;[0.17736359 0.75405882 1.50464471];[5.55111512e-17            nan            nan];[1.99539435        nan        nan];0.29
Cdyl2;[0.03631236 0.5084076  2.96376016];[0.00181562        nan        nan];[5.82949616        nan        nan];0.2
Cenpn;[ 0.20473212 45.46682368 99.33482122];[0.21496873 0.14870761 0.29256068];[2.18477591 1.44311339 3.33560702];0.45
Atmin;[0.08359799 0.1971761  1.16211591];[0.0041799       nan       nan];[5.89379702        nan        nan];0.35
Gcsh;[ 0.78487913 12.00537031 75.02180444];[0.78487913 0.63498951 0.97688492];[6.24902044 4.68637234 8.47009755];4.6
Gan;[0.16618095 2.39560627 3.80404447];[0.00830905        nan        nan];[1.58792558        nan        nan];0.25
Plcg2;[0.03602067 0.51052171 2.06817073];[0.00180103        nan        nan];[4.05109259        nan        nan];0.14
Cdh13;[ 0.27958248 47.2101986  47.2446839 ];[0.2935616  0.18477394 0.36218641];[1.00073046 0.586127   1.68402501];0.28
Hsbp1;[  4.22637651 297.69976988 799.61999833];[4.22637651 3.53589105 5.02537378];[2.68599468 2.21647741 3.25062786];11.19
Mbtps1;[ 0.71816842  4.2528732  17.29097753];[0.71816842 0.52783538 0.9891659 ];[4.06571668 2.61111781 6.37067922];2.5
Hsdl1;[0.53989388 3.61535561 4.02630353];[0.53989388 0.19613545 1.10253654];[1.11366736 0.46994381 4.17594412];0.52
Taf1c;[1.13106487e-01 1.54448160e+02 3.24772545e+02];[0.11310649 0.0835844  0.15801242];[2.10279323 1.19334884 3.8949064 ];0.24
Wfdc1;[ 0.04741315  4.28160511 27.44963829];[0.05215447 0.03387716 0.07333477];[ 6.9880582   3.30815136 11.45140948];0.3
Cotl1;[ 0.52841408  6.6797436  71.5693535 ];[0.52841408 0.4382782  0.64491017];[10.71438633  8.27627047 13.97276061];5.25
Klhl36;[ 0.13822451 33.60945238 48.9579952 ];[0.13822451 0.08601721 0.23094331];[1.4566734  0.80306158 2.65707445];0.2
Crispld2;[6.26968780e-02 4.29538165e+01 1.53264784e+02];[0.06269688 0.04349722 0.10236526];[3.46108572 1.88757459 7.09884934];0.22
Zdhhc7;[  0.44636883 148.67892271 265.8730826 ];[0.44636883 0.37731049 0.6039556 ];[1.78823654 1.2645214  2.49394838];0.8
6430548M08Rik;[0.08572599 1.89282182 2.39103848];[0.0042863       nan       nan];[1.26321372        nan        nan];0.1
Gse1;[  0.48408024  88.12183925 254.28845509];[0.48408024 0.38464373 0.61274228];[2.88564625 2.18529143 3.8426987 ];1.39
Gins2;[ 0.36246416  2.79025991 36.38678982];[0.36246416 0.30045658 0.44265742];[13.04064531  9.89392237 17.01787717];4.18
Mthfsd;[ 0.48805771  3.67133371 15.84254383];[0.48805771 0.36596752 0.66199268];[4.31520125 2.82332145 6.39270643];1.86
Fbxo31;[0.04096281 0.06118834 1.10434985];[0.00204814        nan        nan];[18.04837138         nan         nan];0.44
Klhdc4;[ 0.77373239  9.06894426 17.40154286];[0.77373239 0.5156015  1.12413108];[1.9188058  1.2090749  3.43183543];1.37
Slc7a5;[  0.41138352  30.76293068 164.08932426];[0.41138352        nan        nan];[5.33399519 4.1849415  6.864747  ];2.17
Banp;[0.15716437 0.72368898 5.88488916];[0.15716437 0.09982357 0.23724249];[ 8.13179325  4.86313756 13.98505067];1.05
Zfpm1;[0.15266479 3.06142392 3.59166751];[2.77555756e-17            nan            nan];[1.17320162        nan        nan];0.17
Zc3h18;[ 0.38845316  1.16026531 13.57116212];[0.38845316 0.30066874 0.49939601];[11.69660246  8.29834507 16.5019542 ];3.4
Cyba;[  0.76508916  11.08139561 157.65933351];[0.68858025        nan        nan];[17.6419632  13.49733177 21.55444878];10.18
Mvd;[2.54098602e-01 9.57612569e+01 3.05435470e+02];[0.2540986  0.15524789 0.33413905];[3.1895516  2.26780113 4.5590394 ];0.81
Rnf166;[0.54894112 3.36512614 7.03566891];[0.54894112 0.33597031 0.90645321];[2.09075934 1.06142306 4.07767821];0.99
Ctu2;[ 0.3484214   5.8715622  16.41285512];[0.3484214  0.23884404 0.49946739];[2.79531316 1.77010019 4.58298191];0.92
Cdt1;[  0.31194138  60.38780152 273.11270108];[0.31194138 0.25159822 0.38759451];[4.52264686 3.42845766 6.04623222];1.4
Aprt;[   2.28740877  223.56253375 1099.42451454];[2.28740877 1.95774043 2.71457592];[4.91774939 4.10326493 5.81959727];11.13
Galns;[0.31081781 2.33752802 4.94780468];[0.31081781 0.17011333 0.55053867];[2.11668251 1.05490767 4.47178834];0.58
Trappc2l;[ 1.87360874 14.77556207 67.66637759];[1.7799283  1.40280074 2.4307646 ];[4.85439132 3.29446131 7.29341893];7.61
Ankrd11;[ 0.49817845 10.44844902 94.00815573];[0.49817845 0.41135551 0.60985324];[ 8.99733114  7.24649889 11.32766446];4.28
Spg7;[ 0.85428545 16.61316743 27.46810175];[0.89699972 0.59284558 1.21216876];[1.50458801 1.08759727 2.77129824];1.34
Rpl13;[2.46372228e-02 8.66068835e-01 3.52232395e+01];[0.02340536 0.01485138 0.0366697 ];[43.11046916 23.23089627 80.18151743];0.97
Dpep1;[ 0.16774342  8.17464239 26.57665349];[0.16774342 0.10931115 0.23661254];[3.251109   2.04722027 5.60474842];0.53
Chmp1a;[  1.02786656 191.02379733 367.35994262];[1.02786656 0.81589768 1.30749277];[1.92311088 1.47636706 2.50327405];1.97
Cdk10;[ 0.38035638 23.36062795 75.88639983];[0.3993742  0.29440585 0.50601958];[3.24847431 2.3725247  4.51692572];1.22
Zfp276;[ 0.24373758  7.07522381 12.55922055];[0.26811133 0.14658227 0.39662945];[1.72184573 0.9846602  3.32348805];0.42
Fanca;[0.05861491 0.52614521 1.1569833 ];[6.9388939e-18           nan           nan];[2.19898095        nan        nan];0.12
Tcf25;[ 1.03924664  3.44435728 19.54836915];[1.03924664 0.78118063 1.39383678];[5.6754766  3.56072758 8.85827634];4.53
Tubb3;[3.05386029e-01 1.73110036e+02 4.44162297e+02];[0.32065533 0.24944998 0.42631821];[2.41183336 1.70413665 3.40326169];0.78
Def8;[  0.66551278 124.23824924 133.85180886];[0.66551278 0.48008397 0.96092735];[1.07738003 0.72910823 1.56299541];0.71
Gas8;[0.17297541 0.41251858 3.65063366];[0.17297541 0.07905803 0.28988746];[ 8.84962236  4.68527731 21.96221197];1.08
Rhou;[0.50560482 5.08400068 7.85316385];[0.50560482 0.26914606 0.84600452];[1.49834145 0.82360026 3.58401488];0.71
Rab4a;[ 0.73754443 80.42393071 99.51391345];[0.73754443 0.55834924 1.04471301];[1.20024594 0.84355471 1.69283122];0.9
Acta1;[8.68245200e-02 2.25419301e+00 5.02638931e+02];[0.08682452 0.0706148  0.10205995];[222.97954441 166.1764435  307.75262391];18.64
Nup133;[0.2199841  1.03326247 4.71473907];[0.2199841  0.1274742  0.35266843];[4.56296361 2.49898101 8.83328131];0.83
Urb2;[ 0.21039864 21.98108095 29.07044547];[0.21039864 0.1356674  0.34683519];[1.3225212  0.76376462 2.2620088 ];0.28
Galnt2;[  1.2258907   98.54014865 541.37609029];[1.2258907  1.01620393 1.4549596 ];[5.49396462 4.556528   6.67158281];6.65
2310022B05Rik;[1.66844241e+00 3.59193890e+02 3.26425474e+03];[1.66844241        nan        nan];[ 8.81509175  7.58731288 10.48390049];15.09
Ttc13;[ 0.75763393  6.36599049 12.8459578 ];[0.75763393 0.50086304 1.14061415];[2.01790402 1.17772116 3.64179737];1.37
Arv1;[  0.27503503  88.11995686 146.92298327];[0.27503503 0.20586976 0.4027755 ];[1.61728738 1.06198178 2.47028609];0.46
2810004N23Rik;[ 0.62461402  4.59141443 24.66550646];[0.62461402 0.48812207 0.8114335 ];[5.37209325 3.81079864 7.60969051];2.95
Gnpat;[0.35646193 0.53344129 4.16150889];[0.35646193 0.16135851 0.6771735 ];[ 7.80125006  3.12719859 21.70449586];1.67
Egln1;[0.17083352 0.6656358  5.28560216];[0.17083352 0.09958053 0.2638941 ];[ 7.94068191  4.60443682 15.10834839];1.08
Sipa1l2;[  0.36657032 138.80031443 198.12721567];[0.38489884 0.28917912 0.57064927];[1.29895791 0.84773868 1.94282639];0.52
Ntpcr;[  1.17222899 271.23232843 357.44685113];[1.17222899 0.90429622 1.54886307];[1.31786227 0.97850717 1.75715971];1.54
Irf2bp2;[ 0.44785565  3.70518038 16.51418873];[0.44785565 0.33149519 0.6185362 ];[4.45705392 2.90955807 6.72666028];1.78
Rbm34;[0.37799864 2.98968599 7.70789446];[0.37799864 0.23040215 0.62307662];[2.57816189 1.35059404 4.89753575];0.87
Pard3;[0.32105341 1.50042132 5.59319171];[0.32105341 0.19831111 0.50916967];[3.72774743 2.01453341 6.89006563];0.99
Nrp1;[8.22901657e-01 2.66146979e+02 1.22746177e+03];[0.86404674 0.72991761 1.01931165];[4.61196958 3.79060546 5.71946753];3.78
Itgb1;[2.13770924e+00 4.95310695e+02 4.97135246e+03];[2.13770924        nan        nan];[10.03683649  8.57291212 11.68638801];21.36
Cwf19l2;[ 0.60801512 29.95267987 38.63984925];[0.60801512 0.35867906 0.85870728];[1.29002979 0.85379929 1.85167109];0.77
Gucy1a2;[0.01575377 0.50926122 3.97020289];[0.00078769        nan        nan];[7.79600473        nan        nan];0.12
Aasdhppt;[ 0.61042     9.56151243 34.46521859];[0.61042    0.4546321  0.80918415];[3.60457813 2.50877988 5.48204486];2.07
Casp4;[ 0.11110351 35.08833967 71.35941447];[0.11110351 0.06888094 0.1811735 ];[2.03370736 1.13351828 3.81051874];0.23
Dync2h1;[ 0.07873031  4.94526375 39.25807358];[0.07873031 0.05353546 0.11562405];[ 7.93851967  4.94844451 13.50432198];0.62
Dcun1d5;[  0.74835856 129.71338095 314.81323781];[0.74835856 0.59803929 0.9530775 ];[2.42699123 1.87725361 3.17789813];1.81
Mmp13;[3.76496252e-03 5.93155864e-01 2.53175275e+01];[0.00395321 0.00144397 0.00941654];[ 40.12179136  10.45580718 154.96715757];0.16
Mmp3;[7.47884846e-02 6.18275528e+00 9.97658320e+01];[0.07852791 0.06183572 0.09519391];[16.13614441 10.88621334 25.12235348];1.19
Tmem123;[ 1.76526337 13.31476429 40.82765215];[1.67700021 1.24119408 2.38215157];[3.34231533 2.02065359 5.43477259];4.78
Birc2;[  0.41796628 117.13337975 206.97134924];[0.41796628 0.31129403 0.56500346];[1.76697155 1.24965344 2.52032908];0.74
Yap1;[ 1.04719877 17.32671067 38.05419708];[1.04719877 0.73237667 1.41939329];[2.19627359 1.5150489  3.78817122];2.17
Arhgap42;[ 0.43855285 14.94559745 36.40054459];[0.43855285 0.29962449 0.5967384 ];[2.43553626 1.68888205 4.08561982];1.04
Mtmr2;[4.96600698e-01 1.70630139e+02 5.31082925e+02];[0.4966007  0.38608157 0.66408125];[3.11248018 2.20281839 4.43988944];1.54
Fam76b;[  0.44453331 169.25541231 176.65000948];[0.44453331 0.29290863 0.68420629];[1.04368898 0.64899422 1.64860734];0.46
Cwc15;[ 1.14563271  5.65231617 27.10616388];[1.14563271 0.89126681 1.55953238];[4.79558522 2.99489421 6.96945547];4.57
Amotl1;[ 0.60285258  4.01913988 29.51832357];[0.60285258 0.48646352 0.77407838];[7.34443799 5.07953703 9.93735935];3.85
Fut4;[ 0.11231558 11.74803635 14.76942016];[0.11793136 0.06826805 0.22474453];[1.25718203 0.5749955  4.34677469];0.14
1700012B09Rik;[4.03405293e-02 3.16872080e+01 4.74845615e+01];[0.04034053 0.01747281 0.09849051];[1.45358419 0.51091517 4.44074704];0.06
Ankrd49;[0.58791192 4.60939464 5.95072689];[0.58791192 0.26308686 1.07171916];[1.29099966 0.62894043 3.82491838];0.67
Panx1;[0.3950892  4.10356138 7.32305253];[0.3950892  0.19972112 0.66515183];[1.78456025 0.97551583 4.30100569];0.64
Med17;[  0.42684453 109.43811799 364.13040845];[0.42684453 0.3259637  0.55948447];[3.32727221 2.42371776 4.72474894];1.41
4931406C07Rik;[0.24827085 1.78769558 4.1397189 ];[0.24827085 0.10025273 0.47919089];[2.31567329 1.05325458 6.80491868];0.5
Taf1d;[ 0.49941301  2.73323482 13.888361  ];[0.49941301 0.37267445 0.67861606];[5.08129083 3.29436071 7.58803876];2.15
5830418K08Rik;[0.17031052 1.61368719 5.4866372 ];[0.17031052 0.09926701 0.28655188];[3.40006243 1.79891338 6.43256635];0.52
Chordc1;[0.322133   0.46998675 5.53679946];[0.322133   0.20703469 0.47563035];[11.78075643  6.96739404 20.98384426];2.25
Naalad2;[0.07636824 2.10526359 8.41988193];[0.07636824 0.04216969 0.13060879];[3.99944309 2.05026499 7.87871415];0.29
Zfp560;[  0.43274003  95.30017375 286.65307147];[0.43274003 0.34753437 0.54773124];[3.00789663 2.27369305 4.02735997];1.3
Zfp426;[  0.27083839 107.48852503 174.0312195 ];[0.25729647 0.19508903 0.3752941 ];[1.66763993 1.11330773 2.58096285];0.44
Zfp266;[   1.8242531   983.08166375 1044.06735298];[1.8242531  1.42601781 2.37489339];[0.99831311        nan        nan];1.93
Zfp846;[ 0.1005534  36.24780819 67.04432104];[0.1005534  0.06346161 0.16478162];[1.84961035 1.00874454 3.53001627];0.19
Ubl5;[4.13130433e-02 2.83859585e-01 4.39634066e+01];[1.38777878e-17            nan            nan];[154.87730165          nan          nan];5.59
Pin1;[ 0.03606244  0.06025633 21.22729339];[0.00180312        nan        nan];[352.28320168          nan          nan];7.95
Col5a3;[ 0.45820156  4.39438118 37.96932767];[0.45820156 0.37029853 0.57284861];[ 8.64042651  6.50013496 11.61733116];3.59
A230050P20Rik;[ 0.06763515 35.05104339 65.5417683 ];[0.06763515 0.04176913 0.11925572];[1.86989493 0.90139219 4.11066164];0.13
Angptl6;[0.04557168 1.54250176 1.84372778];[0.00227858        nan        nan];[1.19528406        nan        nan];0.05
Ppan;[ 0.46131792  1.82325628 17.66440024];[0.46131792 0.36413286 0.58334031];[ 9.68838032  6.96999583 13.44895795];3.57
Eif3g;[ 0.9994859   2.94466869 40.9204302 ];[0.9994859  0.83443408 1.20648882];[13.89644628 10.4895773  18.12894591];10.37
Dnmt1;[ 0.26332926  2.43223602 15.85554086];[0.26332926 0.19934798 0.35309722];[6.51891541 4.36200827 9.40806079];1.55
S1pr2;[0.21714289 0.47979321 6.64640386];[0.21714289 0.14902595 0.30485661];[13.85264273  8.97320082 22.13063738];2.07
Mrpl4;[ 0.95194081  4.27171534 17.7825987 ];[0.95194081 0.7189525  1.31787538];[4.16287072 2.51881841 6.32912987];3.24
Icam1;[3.72312281e-02 4.65313021e+00 9.24402640e+01];[0.03723123 0.02608891 0.05215041];[19.86625341 11.89984293 36.24601569];0.73
Tyk2;[  0.22467779  76.43595841 106.59720431];[0.22467779 0.15719899 0.34196022];[1.39459499 0.85949219 2.28222026];0.31
Cdc37;[ 1.19124999  8.85179227 76.63812746];[1.25081249 0.99572913 1.55139948];[ 7.87870906  6.13997959 11.29174716];9.09
Pde4a;[  0.68617098 116.29227111 165.15450683];[0.85771372 0.6428518  1.20807878];[1.12193234 0.7781871  1.53988414];0.97
Keap1;[ 0.54227868  6.00197696 17.97226259];[0.54227868 0.38929623 0.76475654];[2.99439047 1.98678417 4.72435268];1.49
Atg4d;[ 0.2712461  61.18892366 94.24036652];[0.28480841 0.18618734 0.40305628];[1.54015402 0.98663522 2.43364625];0.42
Slc44a2;[1.59065616e+00 2.90676115e+02 2.16239221e+03];[1.59065616 1.36830214 1.84369488];[7.43918092 6.31688486 8.82323976];11.77
Qtrt1;[  0.75195662 427.34645159 682.15032587];[0.71435879 0.51602425 0.88833348];[1.78779621 1.32670474 2.40974797];1.2
Dnm2;[  1.39693728 122.52643091 344.53916274];[1.39693728 1.16468029 1.71514915];[2.81195788 2.24480562 3.46004379];3.88
Tmed1;[ 0.86408319 16.77243532 63.19698282];[0.86408319 0.66055931 1.09592289];[3.76790738 2.82686947 5.59919506];3.1
AB124611;[0.00404721 0.13053526 1.18787474];[0.00020236        nan        nan];[9.10002989        nan        nan];0.04
Carm1;[ 0.25069118  3.95193572 25.02353241];[0.25069118 0.18044748 0.35059537];[6.33196848 4.1111158  9.67918347];1.49
Yipf2;[ 0.23128552 15.84764415 34.9388442 ];[0.23128552 0.14149553 0.33311051];[2.20467117 1.45885492 4.08330763];0.5
1810026J23Rik;[ 0.57208253  6.75167222 19.11647686];[0.57208253 0.40894177 0.79910096];[2.83136921 1.88169214 4.50489722];1.49
Smarca4;[  1.02389345  29.50216794 126.88768576];[0.87030943 0.64793173 1.10213519];[4.17193257 3.57517272 5.25480566];4.26
Ldlr;[  0.66531887 102.97856653 432.44287258];[0.66531887 0.55548054 0.80105702];[4.19934834 3.37091939 5.27968823];2.78
Spc24;[ 0.11535512  1.05293623 13.98821976];[0.11535512 0.08635887 0.15310911];[13.28496391  9.1404177  19.26591453];1.38
Kank2;[1.02989389e+00 7.10757040e+02 1.99768912e+03];[0.9783992       nan       nan];[2.97928877 2.37338329 3.74179106];2.89
Tmem205;[   1.20916865  501.23255328 1114.96847962];[1.14871022 0.92877622 1.41842646];[2.35792065 1.87730575 3.01636039];2.68
Ccdc151;[9.02380625e-03 5.87792073e+00 3.60124215e+01];[0.00902381 0.00335183 0.02172982];[6.126728      nan      nan];0.06
Prkcsh;[ 1.07034898 11.34789069 55.45154389];[1.01683153 0.81900345 1.34930963];[5.3262923  3.47681672 7.35542678];4.78
Ecsit;[ 0.52082055 31.41607067 76.57320902];[0.52082055 0.3639777  0.68235111];[2.43738976 1.82258236 3.28489895];1.25
